UNH_SampleID,UNH_ShortName,MONTH,DAY,YEAR,SITE,PlotCODE_ID,PLOTID,pH,Aromatic,Lignin,Lipid,Polysaccharide,N-Bearing,Protein,Phenol,Unknown
37333,0704 UMC-01,7,4,2013,UMC,1,UMC00111,4.62,0.069249075,0.472470181,0.026265271,0.234178694,0.029200227,0.030046873,0.020594073,0.117995607
37334,0704 UMC-02,7,4,2013,UMC,2,UMC00201,6.5,0.072163172,0.329215373,0.039290182,0.23922722,0.049775075,0.069379572,0.018888714,0.182060692
37335,0704 UMC-03,7,4,2013,UMC,3,UMC00311,5,0.101583557,0.431500453,0.048798309,0.181598232,0.027447723,0.048573949,0.016827003,0.143670773
37336,0704 UMC-04,7,4,2013,UMC,4,UMC00401,6.78,0.085802865,0.441812506,0.030562294,0.224636598,0.02501445,0.033135692,0.015865027,0.143170568
37337,0704 UMC-05,7,4,2013,UMC,5,UMC00512,6.26,0.11620933,0.264491557,0.045916716,0.129729851,0.037954033,0.095418732,0.029801515,0.280478267
37338,0704 UMC-06,7,4,2013,UMC,6,UMC00602,6.35,0.166476701,0.091920885,0.081634021,0.161117763,0.044126239,0.14002203,0.03571668,0.278985681
37339,0704 UMC-07,7,4,2013,UMC,7,UMC00713,6.91,0.147754525,0.1536155,0.058787174,0.196262815,0.060845317,0.132285928,0.028695711,0.221753029
37340,0704 UMC-08,7,4,2013,UMC,8,UMC00803,7.14,0.164601557,0.136349245,0.063985332,0.139047592,0.049907613,0.133105084,0.02528224,0.287721338
37341,0704 UMC-09,7,4,2013,UMC,9,UMC00900,4.52,0.099680787,0.40023749,0.028313684,0.188034525,0.035946445,0.063838712,0.01864867,0.165299688
37342,0704 UMC-10,7,4,2013,UMC,10,UMC01000,5.69,0.063010535,0.34322874,0.025089135,0.253344343,0.067125096,0.068491906,0.018695212,0.161015033
37343,0704 UMC-11,7,4,2013,UMC,11,UMC01110,5.08,0.065843168,0.486339589,0.016891993,0.291660867,0.040189812,0.025298685,0.005618333,0.068157552
37344,0704 UMC-12,7,4,2013,UMC,12,UMC01210,5.42,0.079380235,0.417619918,0.023219126,0.234537841,0.025456068,0.04899802,0.016141313,0.15464748
37345,0704 UMC-13,7,4,2013,UMC,13,UMC01310,5.25,0.10250206,0.438871196,0.041772667,0.172783587,0.025408421,0.049202338,0.017072436,0.152387296
37346,0704 UMC-14,7,4,2013,UMC,14,UMC01400,5.55,0.131926352,0.34507061,0.01785229,0.291026859,0.028190734,0.060801378,0.012638178,0.112493599
37347,0704 UMC-15,7,4,2013,UMC,15,UMC01513,6.3,0.118851434,0.345205458,0.06352391,0.147856585,0.014799953,0.068141557,0.021952328,0.219668775
37348,0704 UMC-16,7,4,2013,UMC,16,UMC01603,6.55,0.112180468,0.379807428,0.045453645,0.196137552,0.022318569,0.041441541,0.020467675,0.182193122
37833,0905 NWT-01,9,5,2013,NWT,1,NWT00110,4.57,0.116375203,0.308329184,0.063061306,0.200893812,0.031652987,0.034133897,0.01703444,0.228519171
37834,0905 NWT-02,9,5,2013,NWT,2,NWT00200,4.27,0.045608616,0.400465618,0.037314975,0.18119918,0.034030858,0.050219202,0.001095655,0.250065896
37835,0905 NWT-03,9,5,2013,NWT,3,NWT00310,4.41,0.09492834,0.351709622,0.040831798,0.181458353,0.036740932,0.04547638,0.018436842,0.230417733
37836,0905 NWT-04,9,5,2013,NWT,4,NWT00410,4.34,0.130075311,0.29894313,0.044777346,0.180892622,0.030444106,0.035313182,0.014277122,0.265277181
37837,0905 NWT-05,9,5,2013,NWT,5,NWT00510,4.95,0.091259541,0.33289169,0.051595341,0.225959104,0.031952031,0.046788518,0.012706653,0.206847122
37838,0905 NWT-06,9,5,2013,NWT,6,NWT00610,3.93,0.047462976,0.303824487,0.043128212,0.21596821,0.065599965,0.042410073,0.002014778,0.279591299
37839,0905 NWT-07,9,5,2013,NWT,7,NWT00710,4.96,0.065897732,0.285085104,0.040851475,0.27263747,0.049352923,0.053171152,0.01230944,0.220694703
37840,0905 NWT-08,9,5,2013,NWT,8,NWT00810,4.62,0.140977208,0.363315904,0.037904981,0.153999149,0.027442396,0.03598609,0.016969803,0.223404468
37841,0905 NWT-09,9,5,2013,NWT,9,NWT00910,4.68,0.067046427,0.263234714,0.063910877,0.259413864,0.064483163,0.053787667,0.00957016,0.218553126
37842,0905 NWT-10,9,5,2013,NWT,10,NWT01010,4.32,0.039973112,0.617351925,0.017976729,0.148222047,0.019521255,0.034269051,0.011909364,0.110776518
37843,0905 NWT-11,9,5,2013,NWT,11,NWT01110,4.74,0.062014914,0.353030674,0.029902311,0.269768046,0.06731486,0.035857819,0.005644561,0.176466814
37844,0905 NWT-12,9,5,2013,NWT,12,NWT01210,4.92,0.066384518,0.498910657,0.037862498,0.183410697,0.028797911,0.040117979,0.015102905,0.129412835
37845,0905 NWT-13,9,5,2013,NWT,13,NWT01310,4.6,0.145168002,0.476067818,0.025202155,0.160343108,0.015558968,0.031107173,0.018511476,0.128041299
37846,0905 NWT-14,9,5,2013,NWT,14,NWT01400,4.48,0.089674243,0.39376183,0.03582464,0.167936284,0.026400242,0.034201267,0.010977094,0.241224399
37847,0905 NWT-15,9,5,2013,NWT,15,NWT01510,4.85,0.040667377,0.57492665,0.024610624,0.136996949,0.012155692,0.031190243,0.015618842,0.163833623
37848,0905 NWT-16,9,5,2013,NWT,16,NWT01610,4.99,0.064133535,0.322682919,0.028390552,0.234340784,0.054237018,0.051515797,0.005981552,0.238717843
37849,0905 NWT-17,9,5,2013,NWT,17,NWT01710,4.27,0.057197204,0.297820012,0.042579356,0.278929577,0.061391299,0.041242373,0.007247439,0.213592741
37850,0905 NWT-18,9,5,2013,NWT,18,NWT01810,5.35,0.079066039,0.390463724,0.059860081,0.173786827,0.020875088,0.044177147,0,0.231771094
37851,0905 NWT-19,9,5,2013,NWT,19,NWT01910,4.88,0.098962582,0.463456691,0.03184734,0.236289093,0.017544163,0.039367813,0.006815158,0.10571716
37852,0905 NWT-20,9,5,2013,NWT,20,NWT02010,4.41,0.084404869,0.378620834,0.028565431,0.203082941,0.03125191,0.036050902,0.010894722,0.22712839
37853,0905 NWT-21,9,5,2013,NWT,21,NWT02110,4.49,0.065259068,0.379308957,0.032437456,0.241543066,0.015991892,0.024838471,0.006951406,0.233669684
37854,0905 NWT-22,9,5,2013,NWT,22,NWT02200,4.37,0.046911025,0.445975279,0.049374107,0.163958026,0.053520483,0.036537589,0.010534642,0.193188848
37855,0905 NWT-23,9,5,2013,NWT,23,NWT02310,4.59,0.093349694,0.297692375,0.037113432,0.262766642,0.071779031,0.034314122,0.013128278,0.189856426
37856,0905 NWT-24,9,5,2013,NWT,24,NWT02410,4.73,0.065403317,0.330960434,0.030677676,0.228090881,0.01304732,0.049873052,0.010510341,0.271436978
37433,0810 UMC-01,8,10,2013,UMC,1,UMC00111,5.22,0.066225986,0.585442771,0.026343383,0.095356778,0.015628458,0.040823155,0.024014395,0.146165074
37434,0810 UMC-02,8,10,2013,UMC,2,UMC00201,6.26,0.092304525,0.47001383,0.018921179,0.169399584,0.022075317,0.054044894,0.014504294,0.158736377
37435,0810 UMC-03,8,10,2013,UMC,3,UMC00311,4.6,0.08438575,0.42589305,0.045501271,0.147209994,0.033027832,0.056035858,0.024691893,0.183254352
37436,0810 UMC-04,8,10,2013,UMC,4,UMC00401,6.25,0.080712135,0.491287591,0.038620845,0.139529487,0.017990046,0.05593936,0.017242028,0.158678509
37437,0810 UMC-05,8,10,2013,UMC,5,UMC00512,6.46,0.138239554,0.21511354,0.071446912,0.156223435,0.04354622,0.11702735,0.01939487,0.239008119
